cycle;name;location.x;location.y;location.z;name;my_district;indicator;threshold;status_on;should_be_activated;threshold_reached;timer_activated;has_activated_levers;timer_duration;lever_type;lever_name;box_title;progression_bar;lever_help_msg;activation_label_L1;activation_label_L2;player_msg;row_index;col_index;associated_actions;activation_queue;activated_levers
319;Us_in_Risk_Area_Lever2;62.5;56.09090909090909;0.0;Us_in_Risk_Area_Lever2;District(5);0;2.0;true;false;false;false;false;120000;SOFT_DEFENSE;Const Adap en ZI;Const Adap en ZI (0);0 actions \/ 2 max;;;;Le gouvernement encourage les stratégies de réduction de la vulnérabilité;6;2;[];[];[]
319;Inland_Dike_Lever2;62.5;60.59090909090909;0.0;Inland_Dike_Lever2;District(5);0.0;0.01;true;false;false;false;false;120000;SOFT_DEFENSE;Const Retrodigue;Const Retrodigue (0);0 m \/ 0.01 * 17926 m digues à t0;;;;Des aides existent de la part du gouvernement pour renforcer la gestion intégrée des risques;6;2;[];[];[]
319;No_Dike_Creation_Lever2;62.5;65.18181818181819;0.0;No_Dike_Creation_Lever2;District(5);0.0;2.0;true;false;false;false;false;120000;WITHDRAWAL;Pas Const Digue;Pas Const Digue (0);0 tours \/ 2 max;;;;Le gouvernement encourage les pratiques vertueuses de gestion intégrée des risques;7;2;[];[];[]
319;No_Dike_Raise_Lever2;62.5;69.68181818181819;0.0;No_Dike_Raise_Lever2;District(5);0.0;2.0;true;false;false;false;false;120000;WITHDRAWAL;Pas Rehausse Digue;Pas Rehausse Digue (0);0 tours \/ 2 max;;;;Le gouvernement encourage les pratiques vertueuses de gestion intégrée des risques;7;2;[];[];[]
319;No_Dike_Repair_Lever2;62.5;74.27272727272728;0.0;No_Dike_Repair_Lever2;District(5);0.0;2.0;true;false;false;false;false;120000;WITHDRAWAL;Pas Renove Digue;Pas Renove Digue (0);0 tours \/ 2 max;;;;Le gouvernement encourage les pratiques vertueuses de gestion intégrée des risques;8;2;[];[];[]
319;A_to_N_in_Coast_or_Risk_Area_Lever2;62.5;78.77272727272728;0.0;A_to_N_in_Coast_or_Risk_Area_Lever2;District(5);0;2.0;true;false;false;false;false;120000;WITHDRAWAL;Agr vers Nat en ZL\/ZI;Agr vers Nat en ZL\/ZI (0);0 actions \/ 2 max;;;;Le gouvernement encourage les pratiques vertueuses de gestion intégrée des risques;8;2;[];[];[]
319;Densification_out_Coast_and_Risk_Area_Lever2;62.5;83.36363636363637;0.0;Densification_out_Coast_and_Risk_Area_Lever2;District(5);0;2.0;true;false;false;false;false;120000;WITHDRAWAL;Densi Hab hors ZI&ZL;Densi Hab hors ZI&ZL (0);0 actions \/ 2 max;;;;Le gouvernement encourage les pratiques vertueuses de gestion intégrée des risques;9;2;[];[];[]
319;Expropriation_Lever2;62.5;87.86363636363637;0.0;Expropriation_Lever2;District(5);0;1.0;true;false;false;false;false;120000;WITHDRAWAL;Exproprie;Exproprie (0);0 Expropriation \/ 1 max;;;;Une aide spéciale est versée aux communes engagées dans une stratégie de recul stratégique;9;2;[];[];[]
319;Destroy_Dike_Lever2;62.5;92.45454545454547;0.0;Destroy_Dike_Lever2;District(5);0.0;0.01;true;false;false;false;false;120000;WITHDRAWAL;Demantele Digue;Demantele Digue (0);0 m \/ 0.01 * 17926 m à t0;;;;Une aide spéciale est versée aux communes engagées dans une stratégie de recul stratégique;10;2;[];[];[]
319;Create_Dike_Lever3;87.5;19.72727272727273;0.0;Create_Dike_Lever3;District(0);0.0;0.2;true;false;false;false;false;120000;BUILDER;Construit Digue;Construit Digue (0);0 m \/ 0.2 * 7185 m à t0;;;;Les autorités réorientent leur politique: vos actions vous coutent plus cher que prévu.;2;3;[];[];[]
